picture_file;picture;Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);Stock;SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Descripción;Tags;Título para SEO;Descripción para SEO;Marca;Producto Fásico;MPN (Número de pieza del fabricante);Sexo;Rango de edad;Costo;Imagen_url
115667_carner_bo_bo_epv_100ml_1_png.webp;;115667-carner-bo-bo-epv-100ml-1;carner bo bo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/115667_carner_bo_bo_epv_100ml_1_png.webp
115793_CARNER_CUIRS_EPV_100ML_1_png.webp;;115793-CARNER-CUIRS-EPV-100ML-1;CARNER CUIRS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/115793_CARNER_CUIRS_EPV_100ML_1_png.webp
115828_histories_de_parfums_blue_1.1_120ml_1_png.webp;;115828-histories-de-parfums-blue-1.1-120ml-1;histories de parfums blue 1.1 120ml 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/115828_histories_de_parfums_blue_1.1_120ml_1_png.webp
115840_histories_de_parfums_blue_1.4_120ml_1_png.webp;;115840-histories-de-parfums-blue-1.4-120ml-1;histories de parfums blue 1.4 120ml 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/115840_histories_de_parfums_blue_1.4_120ml_1_png.webp
115844_histories_de__parfums_blue_1.5_120ml_1_1_png.webp;;115844-histories-de--parfums-blue-1.5-120ml-1-1;histories de  parfums blue 1.5 120ml 1 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/115844_histories_de__parfums_blue_1.5_120ml_1_1_png.webp
115848_histories_de_parfums_blue_1.6_120ml_1_png.webp;;115848-histories-de-parfums-blue-1.6-120ml-1;histories de parfums blue 1.6 120ml 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/115848_histories_de_parfums_blue_1.6_120ml_1_png.webp
115872_CLIVE_CHRISTIAN_NOBLE_COSMOS_FLOWER_50ML_1_11_png.webp;;115872-CLIVE-CHRISTIAN-NOBLE-COSMOS-FLOWER-50ML-1-11;CLIVE CHRISTIAN NOBLE COSMOS FLOWER 50ML 1 11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/115872_CLIVE_CHRISTIAN_NOBLE_COSMOS_FLOWER_50ML_1_11_png.webp
115908_ex_nihilo_atlas_fever_epv_50ml_1_png.webp;;115908-ex-nihilo-atlas-fever-epv-50ml-1;ex nihilo atlas fever;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/115908_ex_nihilo_atlas_fever_epv_50ml_1_png.webp
115914_ex_nihilo_fleur_narcotique_100ml_1.png;;115914-ex-nihilo-fleur-narcotique-100ml-1;ex nihilo fleur narcotique 100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/115914_ex_nihilo_fleur_narcotique_100ml_1.png
115922_ex_nihilo_honore_delights_50ml_1_png.webp;;115922-ex-nihilo-honore-delights-50ml-1;ex nihilo honore delights 50ml 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/115922_ex_nihilo_honore_delights_50ml_1_png.webp
115936_LIQUIDES_IMAGINAIRES_FLEUR_DE_SABLE_100ML_1_png.webp;;115936-LIQUIDES-IMAGINAIRES-FLEUR-DE-SABLE-100ML-1;LIQUIDES IMAGINAIRES FLEUR DE SABLE 100ML 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/115936_LIQUIDES_IMAGINAIRES_FLEUR_DE_SABLE_100ML_1_png.webp
